Year,PC1,PC2,PC3/MZD
1979,-0.567775507,-1.364988609,-0.549880591
1980,0.516742984,0.397634194,0.828887089
1981,-1.424353245,0.929810373,0.368660316
1982,0.165054932,-1.315943746,0.667683431
1983,-0.125377425,0.980150563,0.518397146
1984,0.031422422,-0.034597948,-0.465351634
1985,0.845489884,-0.451131565,-0.098944345
1986,-0.487003205,0.609079031,0.076902956
1987,0.097474096,-0.418496318,1.232709244
1988,-1.16857767,0.278355005,0.772811509
1989,-0.140475287,0.252386422,-0.310756219
1990,-0.396978234,-1.815091994,-0.064438308
1991,1.040397256,-1.712100475,2.513442199
1992,-0.919553392,-0.110393279,0.51016738
1993,0.270070738,0.172525093,0.846273468
1994,-1.077275167,1.27224653,-0.740168161
1995,0.648521183,-1.609449393,0.687967348
1996,-0.339996693,0.804091471,-0.174360219
1997,0.090232172,-0.672182387,0.446956774
1998,-1.70178335,-0.386533727,-1.858188414
1999,-0.44824257,-1.563136675,-0.835895582
2000,-0.057759954,1.592869625,-1.05512109
2001,-0.993678337,0.185852154,-1.322833304
2002,0.124668491,0.636437792,1.035158095
2003,0.46238506,1.305708702,1.973537789
2004,1.022300332,-0.155676787,0.493199864
2005,0.299531948,-0.558220257,-1.55577548
2006,-0.192824369,0.524193782,-0.123468901
2007,1.19519207,-2.148164095,-0.40957908
2008,-0.499878571,-0.481346052,1.045162524
2009,-0.622438429,-0.941108464,1.033014946
2010,1.430774624,-0.400027978,-0.4309509
2011,-1.873770771,-0.467207351,-0.879002823
2012,-1.923946491,0.89219238,-1.520250168
2013,-0.294906508,0.583448493,-1.355624727
2014,0.547794137,0.468752884,1.565235949
2015,0.674075232,1.116780715,-0.562659646
2016,1.210701205,2.19625804,-0.343081452
2017,-0.400585464,0.973874009,0.392752117
2018,2.952358266,0.711568664,-1.540139553
2019,2.031993607,-0.278418822,-0.812449546
2020,0.857714043,-0.925442825,-0.485012724
2021,-0.651440012,0.97981173,-0.810912161
2022,-0.94496079,0.536952043,-2.585570394
2023,0.019683803,0.271310952,-2.277041233
2024,-1.14913168,1.019440294,-2.948011222
2025,0.251682546,0.804195681,-1.56407102
